Job title,Yearly Salary (USD),Years Work Experience
Recruiting Enablement,75000.0,11 - 20 years
Business Analyst,68000.0,5-7 years
principal data scientist,180000.0,11 - 20 years
Assistant Librarian,56000.0,8 - 10 years
Senior Financial Analyst,85000.0,8 - 10 years
Manager,60000.0,11 - 20 years
Research Director,108000.0,21 - 30 years
Assistant Community Library Manager,61000.0,21 - 30 years
Adjunct ESOL Instructor,45000.0,21 - 30 years
Operations and Administration Manager,51750.0,11 - 20 years
Court reporter,130000.0,31 - 40 years
Supervisor,58240.0,2 - 4 years
Staff Writer,65000.0,8 - 10 years
Library Supervisor,37500.0,11 - 20 years
High school teacher,51000.0,5-7 years
Data Manager,102000.0,41 years or more
Librarian,52275.0,8 - 10 years
Executive Assistant,56000.0,2 - 4 years
Programmer,87000.0,11 - 20 years
Software Engineer,80000.0,2 - 4 years
Senior Editor,76668.0,8 - 10 years
specialist,13520.0,11 - 20 years
Recording secretary ,45700.0,2 - 4 years
Research Assistant Professor,75000.0,5-7 years
Transportation Planner,72000.0,11 - 20 years
Account Manager/Client Relations,72000.0,11 - 20 years
Senior Hardware Lifecycle Manager II,140000.0,8 - 10 years
Data Analyst,84000.0,11 - 20 years
Clinical Supervisor,72000.0,8 - 10 years
District Defender,101985.0,11 - 20 years
Product Owner,99000.0,11 - 20 years
Museum Registrar ,56000.0,21 - 30 years
Systems Librarian,110000.0,8 - 10 years
Communications Manager,123000.0,11 - 20 years
Program Manager,54540.0,8 - 10 years
Inventory lead/floor lead,28000.0,5-7 years
Assistant Director,64575.0,8 - 10 years
"Director, Executive Communications",128125.0,8 - 10 years
Office Coordinator,33280.0,21 - 30 years
Taxonomy Manager,118000.0,11 - 20 years
accounting specialist,40000.0,21 - 30 years
Academic oncologist,225000.0,8 - 10 years
Marketing and Business Development Manager,90000.0,8 - 10 years
Associate Recruiter,87000.0,5-7 years
Senior Customer Success Manager,135000.0,11 - 20 years
Senior Research Scientist,114000.0,11 - 20 years
Program Director ,95000.0,8 - 10 years
Admin Assistant,60000.0,21 - 30 years
Senior Developer,123000.0,11 - 20 years
Director of Policy,130000.0,8 - 10 years
Registered Nurse/Clinical Research Coordinator,52000.0,11 - 20 years
Senior corporate councel,114373.0,8 - 10 years
Research Compliance Specialist,53000.0,8 - 10 years
Camera Hardware Engineer,165000.0,5-7 years
Social Worker,48000.0,21 - 30 years
Associate Director of Admissions,107000.0,11 - 20 years
Deputy District Attorney,93000.0,8 - 10 years
Disability Analyst,34859.0,2 - 4 years
CSR,29808.0,5-7 years
Product Owner,128000.0,8 - 10 years
Apparel Technical Designer,52000.0,5-7 years
Associate IRB Chair,71000.0,11 - 20 years
Data and policy specialist,69000.0,2 - 4 years
Nurse Practitioner,100000.0,21 - 30 years
Information Literacy Librarian,84000.0,8 - 10 years
APRN,118000.0,2 - 4 years
Operations Manager,73000.0,21 - 30 years
Operations Coordinator,45360.0,31 - 40 years
Market Research Manager,58000.0,11 - 20 years
Project Coordinator ,60000.0,5-7 years
Senior Paralegal,92500.0,21 - 30 years
Lead Accountant,63600.0,11 - 20 years
Director of Finance and HR,90000.0,8 - 10 years
Senior Analyst,74000.0,11 - 20 years
Attorney,73000.0,11 - 20 years
Editor,119000.0,8 - 10 years
Communications Manager,75000.0,11 - 20 years
Office administrator,54080.0,11 - 20 years
Director of Lead Development,101050.0,11 - 20 years
Data Statistician,110603.0,8 - 10 years
Content Manager,70000.0,8 - 10 years
Food Service Coordinator,34444.0,21 - 30 years
Ecommerce Specialist,60000.0,11 - 20 years
Assessment Coordinator,110000.0,21 - 30 years
Editor,206000.0,11 - 20 years
LIBRARY TECHNICIAN ,46700.0,21 - 30 years
Associate Attorney ,70000.0,5-7 years
Research Associate,55000.0,2 - 4 years
HR Business Partner,115000.0,8 - 10 years
Legal Assistant ,44000.0,8 - 10 years
Data Scientist,115000.0,5-7 years
Compliance analyst,85000.0,5-7 years
Assistant Director ,65000.0,2 - 4 years
Elementary Art Teacher,79023.0,11 - 20 years
Mechanical Engineer ,85000.0,8 - 10 years
Design Project Manager,91000.0,8 - 10 years
Hardware Verification Engineer,80800.0,2 - 4 years
Principal Chemist,107000.0,8 - 10 years
Lab Manager,51000.0,8 - 10 years
Marketing Coordinator,54000.0,8 - 10 years
Client relations ,50000.0,11 - 20 years
Lawyer,91000.0,11 - 20 years
Registered Nurse - Cardiac Cath,70000.0,2 - 4 years
RN,50000.0,11 - 20 years
Controller,77776.0,11 - 20 years
Sales Representative,85000.0,21 - 30 years
Sr. Conference Planner,59800.0,5-7 years
Team Lead,75000.0,8 - 10 years
VP of Visitation and Special Events,55000.0,8 - 10 years
Implemenation / Conflict Analyst,62800.0,11 - 20 years
Evens & Social Media Coorindator,49000.0,8 - 10 years
Production Manager,40000.0,11 - 20 years
Administrative Coordinator ,49000.0,11 - 20 years
Technical Trainer,75000.0,21 - 30 years
"VP, Bank Secrecy Act Officer",97000.0,21 - 30 years
Product Development Engineer,97000.0,11 - 20 years
Middle school social studies teacher/ department head,65000.0,21 - 30 years
Office Manager,44345.0,5-7 years
Project Manager,96500.0,11 - 20 years
Marketing Manager,84000.0,8 - 10 years
Assistant Director of Academic Advising,54000.0,11 - 20 years
Dietitian (RD),72800.0,11 - 20 years
Librarian III/Branch Manager,77269.0,11 - 20 years
Frontend Software Engineer,90000.0,8 - 10 years
Recruiter ,81100.0,5-7 years
General Manager,80000.0,21 - 30 years
Deputy City Clerk / Treasurer,33508.0,21 - 30 years
Project Manager,99000.0,21 - 30 years
Learning designer (project lead),70000.0,8 - 10 years
Marketing Analyst,92781.0,11 - 20 years
Sr. Controls Engineer ,108000.0,8 - 10 years
Senior Structural Engineer,122000.0,11 - 20 years
Senior Bookkeeper ,42000.0,2 - 4 years
Librarian,39000.0,31 - 40 years
Director of HR,76000.0,11 - 20 years
Creative Project Manager ,66000.0,8 - 10 years
Assistant Laboratory Supervisor,37000.0,5-7 years
Grant writer,54000.0,5-7 years
Financial Analyst,80000.0,2 - 4 years
Software Developer Team Lead,85000.0,8 - 10 years
Lobbyist,112500.0,8 - 10 years
Director of Investor Relations,71000.0,8 - 10 years
Marketing Coordinator,52000.0,21 - 30 years
Program Analyst,97395.0,8 - 10 years
Sales and Marketing Associate,45000.0,8 - 10 years
Vice President of Operations,63000.0,11 - 20 years
Managing Director (Advanced Technology),229500.0,21 - 30 years
Direct care worker,26500.0,11 - 20 years
Assistant professor,65000.0,11 - 20 years
Curriculum Designer/Content Specialist,73500.0,8 - 10 years
Librarian,37500.0,5-7 years
Autonomous Vehicles Engineer,102545.0,5-7 years
Business Analytics Specialist,116000.0,5-7 years
Inside sales ,52000.0,11 - 20 years
social media manager,75000.0,5-7 years
Field Human Resources Generalist,113000.0,5-7 years
Attorney,144128.0,21 - 30 years
Director of Marketing and Events,65000.0,11 - 20 years
Senior Claims Examiner,38000.0,21 - 30 years
"Director, Financial Aid",70000.0,11 - 20 years
Director of Digital Operations,125000.0,11 - 20 years
Senior Program Manager,135000.0,21 - 30 years
Process Analyst,135000.0,21 - 30 years
Senior Analyst,123746.0,8 - 10 years
Communications & Training Specialist,66000.0,11 - 20 years
Executive Director,47736.0,8 - 10 years
Clinical Research Coordinator ,52500.0,21 - 30 years
Senior Project Engineer,120000.0,11 - 20 years
Solutions Consultant,99000.0,11 - 20 years
Senior Buyer,70000.0,5-7 years
Finance Director,165000.0,11 - 20 years
Senior Consultant,123000.0,8 - 10 years
Senior Engineer,108000.0,5-7 years
associate project leader,89000.0,8 - 10 years
Senior Project Coordinator,67000.0,8 - 10 years
Epic Credentialed Trainer,85000.0,8 - 10 years
Frontend Engineer,115000.0,5-7 years
Web Developer,280000.0,11 - 20 years
Data Scientist,120000.0,5-7 years
Analysts ,165000.0,21 - 30 years
Director,175000.0,11 - 20 years
Marketing Coordinator,58000.0,8 - 10 years
Executive Director,50000.0,11 - 20 years
Senior Actuarial Analyst,132500.0,8 - 10 years
CRM Administrator,78650.0,11 - 20 years
Crisis Communications Manager,62700.0,8 - 10 years
Data Analyst,121800.0,11 - 20 years
VP Information Technology,125000.0,41 years or more
Senior Manager,175000.0,21 - 30 years
Graphic designer,104000.0,5-7 years
Senior SDE,165000.0,8 - 10 years
Associate Director of Guest Services,65000.0,11 - 20 years
LMS Administrator,59000.0,8 - 10 years
Associate Attorney,100000.0,5-7 years
HSE Manager,82500.0,11 - 20 years
Attorney,180000.0,11 - 20 years
Assistant Director of Housing and Residence Life,44000.0,5-7 years
Geologist,173000.0,11 - 20 years
Map contractor,31200.0,2 - 4 years
Data Analyst,82000.0,2 - 4 years
Public Health Advisor,83500.0,11 - 20 years
Accounts Receivable,54000.0,5-7 years
Registration Specialist ,29660.0,8 - 10 years
Publications & Communications Manager,73500.0,31 - 40 years
Learning and Development Specialist ,83000.0,11 - 20 years
Director of Consolidations and Reporting,200000.0,21 - 30 years
Treasury Manager,102000.0,21 - 30 years
Grant Writer,120000.0,2 - 4 years
Monographs & Media Cataloger,60000.0,8 - 10 years
Applications Engineer,106193.0,5-7 years
People and Business Operations Manager,65000.0,11 - 20 years
Project Manager,103000.0,11 - 20 years
Senior Paralegal,72300.0,31 - 40 years
Database Manager,47500.0,8 - 10 years
Executive Director,70000.0,31 - 40 years
Senior Data Analyst,105000.0,5-7 years
Group Lead,95000.0,8 - 10 years
Accounting Manager,82000.0,11 - 20 years
Product Content Lead,155000.0,8 - 10 years
Marketing Director,105000.0,11 - 20 years
Human Resources Coordinator ,72000.0,11 - 20 years
Administrative Assistant,36000.0,5-7 years
HR Specialist ,61800.0,8 - 10 years
Regulatory Specialist,72000.0,21 - 30 years
Plant Accounting Manager,109700.0,11 - 20 years
Visitor Services Coordinator/ Collections Manager,33150.0,5-7 years
HR Manager,88500.0,11 - 20 years
Senior International Scholar Advisor,70000.0,8 - 10 years
Annual Fund Manager,50000.0,11 - 20 years
senior manager,106000.0,11 - 20 years
Library assistant,41000.0,21 - 30 years
paralegal,62000.0,21 - 30 years
Senior hair stylist,72800.0,21 - 30 years
Senior Content Management Consultant ,140000.0,11 - 20 years
Office Supervisor,50000.0,31 - 40 years
Communications Director,132000.0,11 - 20 years
"Executive Director, Corporate and Foundation Relations",157000.0,11 - 20 years
Program Architect ,154500.0,11 - 20 years
Auditor Staff,58500.0,2 - 4 years
Environmental Health Safety Manager,90000.0,11 - 20 years
Early childhood teacher,43000.0,31 - 40 years
Director of PR,122000.0,11 - 20 years
Senior Conference Director,90000.0,21 - 30 years
Assistant Director,45000.0,5-7 years
Business support analyst,65409.0,31 - 40 years
Librarian,41800.0,5-7 years
Communications Director,68000.0,11 - 20 years
Product Designer,110000.0,11 - 20 years
Brand content specialist,68195.0,11 - 20 years
Senior UX Researcher,125000.0,5-7 years
Project Coordinator,45000.0,5-7 years
Scientist I,116000.0,1 year or less
Director of Development,113150.0,31 - 40 years
Principal Carrier Support Analyst,115000.0,21 - 30 years
"Manager, Partner Engagement",59600.0,5-7 years
Administrative Coordinator,39000.0,11 - 20 years
Senior Director Product Engineering,180000.0,21 - 30 years
"Director, Sales Planning",125000.0,11 - 20 years
Administrative Assistant,44226.0,5-7 years
Systems Administrator,95000.0,21 - 30 years
Clinical Systems Analyst,78800.0,11 - 20 years
Zoo keeper,31000.0,8 - 10 years
Senior Communications Manager,97000.0,8 - 10 years
Senior Editor,115000.0,8 - 10 years
Product Development Analyst,60000.0,21 - 30 years
Environmental Specialist,69000.0,11 - 20 years
Accounting Assistant ,29120.0,11 - 20 years
Marketing Programs Specialist,76000.0,8 - 10 years
Benefits Consultant,50000.0,31 - 40 years
"Manager, Scheduling & Planning",70000.0,11 - 20 years
Administrative Clerk II,49377.0,8 - 10 years
Customer Success Manager,60900.0,2 - 4 years
Professional Assistant,90000.0,31 - 40 years
Senior Executive Assistant,120000.0,5-7 years
Director of Finance,60180.0,21 - 30 years
Team Lead,56160.0,8 - 10 years
Senior Director,235000.0,11 - 20 years
Assistant Professor/Director of Cataloging & Metadata Services,64000.0,11 - 20 years
Principal Analyst,185000.0,21 - 30 years
Program Financial Analyst,101000.0,21 - 30 years
IT,46000.0,11 - 20 years
Full service bookkeeper,75000.0,8 - 10 years
High school teacher,42000.0,8 - 10 years
Veterinarian,124000.0,21 - 30 years
Grants Manager,44000.0,2 - 4 years
Senior Content Producer,69000.0,5-7 years
HR Associate,31776.0,2 - 4 years
Teacher,82650.0,11 - 20 years
Executive Assistant ,57000.0,5-7 years
Proposal Manager,65000.0,5-7 years
Marketing Writer,51000.0,2 - 4 years
Senior Manager,155000.0,11 - 20 years
Director of Development and Communications ,85000.0,11 - 20 years
Team Leader,46000.0,21 - 30 years
Executive Director ,199990.0,21 - 30 years
System architect ,70000.0,21 - 30 years
Technical Specialist III,125000.0,21 - 30 years
Associate attorney,265000.0,5-7 years
Social Media & Marketing Coordinator,55000.0,11 - 20 years
Patent Prosecution Paralegal,80000.0,8 - 10 years
Software Engineer,255000.0,11 - 20 years
English as Second Language Teacher (ELL),52000.0,8 - 10 years
Deputy Director,65000.0,5-7 years
Research Scientist,118000.0,8 - 10 years
"VP, Analytics",260000.0,21 - 30 years
Bar Director,95000.0,11 - 20 years
associate attorney,65000.0,5-7 years
Assistant Professor of Music,37000.0,11 - 20 years
Senior recruiter ,145000.0,11 - 20 years
senior analyst,64000.0,21 - 30 years
Public Relations Coordinator,59500.0,11 - 20 years
Senior Monitoring and Evaluation Advisor,90000.0,11 - 20 years
Administrative Specialist,51000.0,8 - 10 years
senior account supervisor,70000.0,21 - 30 years
Senior Admin,27000.0,2 - 4 years
Product Manager,125000.0,8 - 10 years
Communications Coordinator,65000.0,11 - 20 years
Process Specialist III,89000.0,8 - 10 years
Adminitrative Assistant,52000.0,5-7 years
Associate Project Manager,77625.0,11 - 20 years
Development Director,52000.0,11 - 20 years
Administrative Assistant,31000.0,11 - 20 years
Temp,38000.0,5-7 years
Partner,200000.0,11 - 20 years
Senior Marketing Coordinator,87000.0,8 - 10 years
International Program Sales Operations Coordinator,51500.0,2 - 4 years
General Counsel,150000.0,11 - 20 years
Graduate Student Instructor,29000.0,2 - 4 years
Assistant Registrar,39000.0,8 - 10 years
Vice President Credit Card Operations,132000.0,21 - 30 years
Program Manager,60000.0,8 - 10 years
Partner,160000.0,21 - 30 years
Director of Operations,37000.0,8 - 10 years
Architectural Project Manager/Designer,78000.0,8 - 10 years
Director,61000.0,21 - 30 years
Development Director,65000.0,5-7 years
Strategy Lead,105000.0,2 - 4 years
Vice President of Client Services,115000.0,21 - 30 years
Marketing Coordinator,51000.0,5-7 years
Academic Advising Coordinator,45000.0,5-7 years
Research Fellow/Lecturer,69000.0,2 - 4 years
Network Engineer Technical Specialist,174000.0,31 - 40 years
Marketing Director,200000.0,11 - 20 years
Grocery store buyer/receiver,40000.0,11 - 20 years
high school social studies teacher,43000.0,5-7 years
full charge bookkeeper,36000.0,11 - 20 years
School Social Worker,66000.0,5-7 years
Production Editor II,48410.0,8 - 10 years
paralegal,110000.0,21 - 30 years
Associate Dean for Communications,185000.0,21 - 30 years
Special Event Coordinator,48000.0,8 - 10 years
Events Marketing Manager,62000.0,11 - 20 years
Supply Chain Analyst,68000.0,11 - 20 years
Legal Assistant,47840.0,8 - 10 years
Communications Manager,130000.0,11 - 20 years
Assistant professor ,90000.0,2 - 4 years
Education Program Manager,52000.0,8 - 10 years
Program Manager,110000.0,11 - 20 years
Clinical Research Manager,82000.0,5-7 years
Director of Communications,72855.0,11 - 20 years
Senior Program Manager,137770.0,21 - 30 years
Financial Analyst,125000.0,8 - 10 years
Internship Coordinator,71000.0,8 - 10 years
Administrative Assistant ,40000.0,5-7 years
Manager PV Compliance & Training ,130000.0,11 - 20 years
Customer service support ,60000.0,21 - 30 years
Sr. Photographer,73300.0,21 - 30 years
Assistant Resource Specialist ,100200.0,5-7 years
Office Manager,58240.0,5-7 years
computer engineer,157000.0,21 - 30 years
Assistant Video Editor,78000.0,11 - 20 years
Vice President,166000.0,11 - 20 years
Firmware Engineer,81000.0,2 - 4 years
Assistant Professor,96000.0,11 - 20 years
Attorney,60000.0,11 - 20 years
Visiting Assistant in Research,60000.0,2 - 4 years
Real estate development officer,97000.0,5-7 years
Information Systems Manager,87000.0,31 - 40 years
Client Account Manager,72000.0,2 - 4 years
Instructional Designer,64671.0,11 - 20 years
Director of Academic Affairs,62000.0,11 - 20 years
Development Director,52000.0,11 - 20 years
Preschool Teacher ,33000.0,2 - 4 years
Accountant,68000.0,11 - 20 years
Environmental project manager,82000.0,11 - 20 years
Production Designer,49000.0,5-7 years
PhD student,21000.0,2 - 4 years
database developer,103000.0,21 - 30 years
Proposal Coordinator,45000.0,11 - 20 years
CX Coach ,46000.0,8 - 10 years
Communications Analyst,85000.0,11 - 20 years
freelance captioner,4000.0,11 - 20 years
HR/Accounting Assistant,54080.0,5-7 years
Software Developer,85000.0,5-7 years
Senior Product Manager,134125.0,5-7 years
"Executive Vice President, Communications",190000.0,11 - 20 years
Librarian I,58000.0,5-7 years
"Manager, Content Strategy",128000.0,11 - 20 years
"Director, Sales Enablement",196000.0,21 - 30 years
Senior Business Intelligence Analyst,100000.0,8 - 10 years
Admin Support Asst,35000.0,31 - 40 years
Legal Secretary,97000.0,11 - 20 years
Grants Manager,100000.0,21 - 30 years
Librarian,60500.0,1 year or less
HRIS Analyst,79000.0,5-7 years
HR Admin Assistant,38000.0,11 - 20 years
Program Manager,42500.0,2 - 4 years
Product manager,68000.0,5-7 years
Claims Examiner,48300.0,11 - 20 years
Analyst,84176.0,11 - 20 years
Commercial Title Examiner,50500.0,11 - 20 years
Internal Audit Director ,92000.0,11 - 20 years
Operations Manager,62000.0,5-7 years
Senior Environmental Scientist ,72000.0,11 - 20 years
"Director, Graduate Financial Aid",71000.0,21 - 30 years
Associate Professor ,100000.0,21 - 30 years
Assistant Professor ,72000.0,1 year or less
Wordpress Developer,55000.0,5-7 years
IT - CRM Admin,55000.0,5-7 years
Finance Specialist,67000.0,11 - 20 years
Lead Analyst,85000.0,11 - 20 years
Senior Engineering Manager,165000.0,11 - 20 years
Librarian ,41000.0,2 - 4 years
Civic Engagement Manager ,72000.0,11 - 20 years
Resume Writer,45000.0,11 - 20 years
A/P Accountant,71000.0,41 years or more
Lead Training Coordinator,56000.0,11 - 20 years
Technical Writer,110000.0,11 - 20 years
Hospital credentialing ,50000.0,21 - 30 years
Communications Manager,85000.0,5-7 years
Program & Engagement Coordinator,36000.0,8 - 10 years
International Customer Service,42000.0,8 - 10 years
Project Manager,90000.0,11 - 20 years
Technical Writer,80000.0,5-7 years
People Business Partner,113000.0,2 - 4 years
Paralegal,40000.0,2 - 4 years
Local Study Manager,125000.0,11 - 20 years
Senior Vice President,155000.0,11 - 20 years
Self employed ,80000.0,31 - 40 years
Associate Professor,67500.0,11 - 20 years
Credentialing Coordinator,39500.0,5-7 years
Director of Volunteer Development ,37000.0,5-7 years
Associate ,190000.0,1 year or less
Assistant Commissioner,124000.0,21 - 30 years
Campaign Organizer,42000.0,1 year or less
Visual Designer,73000.0,5-7 years
Contract Specialist,87500.0,11 - 20 years
Teen Services and Digital Creativity Librarian,42000.0,5-7 years
"Vice President, Compliance Officer",125000.0,5-7 years
Contracts Manager,149000.0,11 - 20 years
Vice President - Human Resources,130000.0,21 - 30 years
Human Resources & Payroll Specialist,51475.0,21 - 30 years
Assistant professor,89500.0,8 - 10 years
Senior Mechanical Engineer,117000.0,11 - 20 years
Associate Director Medical Economics,115000.0,8 - 10 years
programmer,84000.0,21 - 30 years
Executive Assistant,72000.0,8 - 10 years
Editor,68000.0,21 - 30 years
"Manager, Student Programs",67000.0,21 - 30 years
Housekeeper,44000.0,11 - 20 years
Database Administrator SQL,110000.0,5-7 years
Software developer,54000.0,21 - 30 years
Manager,180000.0,2 - 4 years
Senior Manager,102500.0,8 - 10 years
Child Support Supervisor,66285.0,11 - 20 years
Conversions Implementation Analyst,54000.0,21 - 30 years
Communications Program Director,94000.0,11 - 20 years
Staff writer ,58000.0,5-7 years
Director of Product Development,134971.0,8 - 10 years
Project Associate,45000.0,2 - 4 years
eDiscovery Consultant,115000.0,11 - 20 years
[Software] Application Developer,67500.0,11 - 20 years
Administrative Assistant,41600.0,11 - 20 years
"Senior Manager, Sales Operations",153000.0,5-7 years
Development Associate & Special Events Manager,45000.0,5-7 years
Program Coordinator,52000.0,2 - 4 years
Sr. Project Engineer,175000.0,11 - 20 years
Project Analyst,65000.0,5-7 years
Information Architect,103000.0,8 - 10 years
Regional Consultant,40709.0,21 - 30 years
IT Support,68640.0,21 - 30 years
Office manager ,41600.0,11 - 20 years
Paralegal,37500.0,5-7 years
Technology Director,52100.0,11 - 20 years
Associate Attorney ,235000.0,5-7 years
Assistant Manager,60000.0,11 - 20 years
Public School Teacher,62000.0,11 - 20 years
Executive assistant to the CEO,50000.0,2 - 4 years
Librarian and Assistant Branch Manager ,81000.0,21 - 30 years
Business Analyst,69000.0,8 - 10 years
Administrative Assistant / Marketing Coordinator,48000.0,8 - 10 years
Talent Management Manager,112000.0,8 - 10 years
Elementary teacher,38083.0,5-7 years
"Senior court analyst, records management",75000.0,11 - 20 years
Video Editor,73170.0,8 - 10 years
Supervisor ,100000.0,11 - 20 years
Radio broadcaster,36000.0,11 - 20 years
Senior Editor,75000.0,21 - 30 years
Project Manager,48000.0,5-7 years
Office Manager,65000.0,31 - 40 years
Attorney (shareholder),250000.0,31 - 40 years
VP of Marketing,120000.0,8 - 10 years
Branch Manager,55000.0,41 years or more
Software developer,118000.0,5-7 years
Administrative Specialist,52000.0,11 - 20 years
"Assistant Director, Direct Marketing",75000.0,11 - 20 years
Copywriter,77000.0,8 - 10 years
Creative Manager,110000.0,8 - 10 years
Data Analyst Supervisor (Public Health),62500.0,8 - 10 years
Marketing Specialist,58000.0,5-7 years
Applicaion Developer III,72000.0,11 - 20 years
Librarian,56860.0,11 - 20 years
Assistant Director of Operations-Public Utilities,83000.0,11 - 20 years
"Director, Law Library",140000.0,21 - 30 years
Teacher,52000.0,11 - 20 years
Tax Manager,88000.0,8 - 10 years
Technical Data Analyst,59000.0,8 - 10 years
Grants Manager,80000.0,11 - 20 years
Associate Professor,77400.0,11 - 20 years
Valuations expert,150000.0,11 - 20 years
Coordinator,58000.0,11 - 20 years
Editor ,65000.0,2 - 4 years
Software consultant,312000.0,11 - 20 years
Administrative Assistant,65000.0,11 - 20 years
Creative Marketing Manager,74000.0,11 - 20 years
Academic librarian,50500.0,2 - 4 years
Office Manager,31200.0,8 - 10 years
Director of Advancement Communications ,74000.0,8 - 10 years
Stewardship Coordinator,65000.0,11 - 20 years
Lab & Special Projects Director,63375.0,11 - 20 years
Operations,57383.0,8 - 10 years
Universal account expert,33000.0,5-7 years
On-site Maintenance ,48000.0,8 - 10 years
Software engineer ,120000.0,8 - 10 years
Biologist,107000.0,8 - 10 years
Manager,75000.0,11 - 20 years
Librarian,57000.0,8 - 10 years
Technical Information Specialist,60000.0,8 - 10 years
Project Manager,73000.0,2 - 4 years
Statewide Trainer and Fidelity Reviewer,43000.0,11 - 20 years
Director of Wellness,79500.0,11 - 20 years
HR Manager,56000.0,5-7 years
"Sr. Consultant, Digital Process Innovation ",78000.0,11 - 20 years
Claims Liaison Analyst,52500.0,21 - 30 years
"Coordinator, Student Affairs",38237.0,2 - 4 years
Associate Professor,60000.0,11 - 20 years
Senior sales representative ,62000.0,2 - 4 years
Staff engineer,155000.0,8 - 10 years
Finance & Contracts Coordinator,60320.0,8 - 10 years
Mortgage Servicing Manager,57000.0,11 - 20 years
Accounting Manager,68000.0,21 - 30 years
Attorney,120000.0,8 - 10 years
Program Evaluator,127885.0,11 - 20 years
Employee Relations Specialist,107000.0,11 - 20 years
Inside Sales,38000.0,21 - 30 years
Senior medical writer,105000.0,5-7 years
Lead Software Engineer,156000.0,11 - 20 years
Urban Forester,50000.0,11 - 20 years
"Director, Medical Affairs",230000.0,8 - 10 years
Business Administrator,57678.0,8 - 10 years
Program Manager ,67000.0,5-7 years
Administrative Specialist,55000.0,5-7 years
Museum curator,57000.0,2 - 4 years
psychologist,110000.0,11 - 20 years
Operations Manager,35.0,31 - 40 years
Pilates teacher & classical singer,75000.0,21 - 30 years
Administrative Assistant I,53000.0,41 years or more
Ruby on Rails Developer,130000.0,11 - 20 years
Financial Analyst,83000.0,11 - 20 years
Public Health Communication Specialist,47000.0,1 year or less
Grants Management,57200.0,11 - 20 years
Claims specialist ,67600.0,8 - 10 years
Director of Outreach and Compliance,55000.0,8 - 10 years
Data Scientist,148000.0,11 - 20 years
Teacher,50000.0,5-7 years
Project manager/weiter,89000.0,11 - 20 years
Library Administrative Assistant,33000.0,11 - 20 years
Senior Systems Engineer II,105000.0,11 - 20 years
Implementation Consultant 2,51001.0,5-7 years
Accountant,31000.0,2 - 4 years
Compliance Officer,85000.0,11 - 20 years
Administrative Assistant,58000.0,11 - 20 years
Graphic Designer,47700.0,11 - 20 years
Scientist,65000.0,8 - 10 years
Financial Aid Officer,41000.0,8 - 10 years
Full service bookkeeper ,60000.0,8 - 10 years
Executive Assistant ,80000.0,11 - 20 years
Head Librarian,60000.0,11 - 20 years
Senior Instructional Designer,104000.0,21 - 30 years
Instruction Librarian,45000.0,5-7 years
Clinical informatics,58000.0,11 - 20 years
Deputy General Counsel,178000.0,11 - 20 years
Financial Analyst,155000.0,11 - 20 years
Senior Field Technician,52000.0,21 - 30 years
Assistant professor,68000.0,5-7 years
Marketing Coordinator,52000.0,31 - 40 years
Senior Associate,141500.0,8 - 10 years
Enterprise Support Coordinator,46800.0,8 - 10 years
Government affairs associate ,50000.0,2 - 4 years
Global Program Manager,130000.0,8 - 10 years
Editorial Director,144000.0,21 - 30 years
Senior Developer - Front End,115000.0,8 - 10 years
Accounting Clerk/Sales Coordinator,29120.0,8 - 10 years
Engineering Supervisor,108.0,11 - 20 years
Academic Advisor,44000.0,8 - 10 years
Corporate counsel,130000.0,11 - 20 years
Special Projects Coordinator,83000.0,5-7 years
Executive Assistant,72000.0,21 - 30 years
Teacher,47700.0,5-7 years
Financial Officer,76000.0,8 - 10 years
Medical Librarian ,56403.0,11 - 20 years
Director of Community Resources ,63000.0,8 - 10 years
"Manager, Grants",63000.0,5-7 years
Principal Consultant,140000.0,8 - 10 years
Human Resources Manager,66000.0,21 - 30 years
Sales ,110000.0,11 - 20 years
Development Director,80000.0,21 - 30 years
Process Engineer,114000.0,5-7 years
Litigation Legal Secretary,100000.0,11 - 20 years
Interlibrary Loan Coordinator ,45000.0,5-7 years
Manager Information Security,199000.0,11 - 20 years
Senior Scientist,77000.0,11 - 20 years
Manager of Institutional Giving and Grants,64000.0,8 - 10 years
Risk Manager,132000.0,5-7 years
Senior copywriter,63000.0,11 - 20 years
"Assistant Vice President, Purchasing",150000.0,31 - 40 years
Project Manager,60000.0,21 - 30 years
Lab Assistant,41600.0,11 - 20 years
Coder/Abstractor,42182.0,5-7 years
Video Editor,87000.0,11 - 20 years
analyst,72000.0,5-7 years
Customer Success Manager,72500.0,5-7 years
Fundraiser,120000.0,21 - 30 years
Assistant Brand Manager,71900.0,2 - 4 years
BSA/Compliance Officer,68560.0,31 - 40 years
Representative Payee Reviewer,37000.0,8 - 10 years
Director ,200000.0,5-7 years
Attorney ,108000.0,11 - 20 years
Managing Director,100000.0,21 - 30 years
Research analyst,50000.0,8 - 10 years
Paralegal,33280.0,8 - 10 years
Architectural Associate,53000.0,11 - 20 years
Senior Financial Analyst,76000.0,11 - 20 years
Director of Fundraising & Development,95000.0,21 - 30 years
Leave of Absence Specialist,60000.0,21 - 30 years
IT Supervisor,82000.0,11 - 20 years
Project engineer,97000.0,11 - 20 years
Business Intelligence Analyst,100800.0,21 - 30 years
Paraeducator,22000.0,11 - 20 years
Museum Curator,70000.0,11 - 20 years
